/M0/D X,/M0/D Y
0,3.522581127282321e-13
2.5e-05,3.524728982494501e-13
5e-05,3.52687823098349e-13
7.500000000000001e-05,3.529028888717793e-13
0.0001,3.531180956616196e-13
0.000125,3.533334435584385e-13
0.00015,3.535489326570203e-13
0.000175,3.537645630480362e-13
0.0002,3.53980334820849e-13
0.000225,3.541962480732019e-13
0.0002500000000000001,3.54412302894548e-13
0.0002750000000000001,3.546284993758229e-13
0.0003000000000000001,3.548448376107797e-13
0.0003250000000000001,3.550613176918284e-13
0.0003500000000000001,3.55277939711473e-13
0.0003750000000000001,3.554947037622448e-13
0.0004000000000000001,3.557116099367689e-13
0.0004250000000000001,3.559286583276931e-13
0.0004500000000000002,3.561458490277443e-13
0.0004750000000000002,3.563631821297112e-13
0.0005000000000000001,3.565806577250468e-13
0.0005250000000000001,3.567982759094434e-13
0.00055,3.570160367730769e-13
0.000575,3.572339404117725e-13
0.0005999999999999999,3.574519869157989e-13
0.0006249999999999999,3.576701763811153e-13
0.0006499999999999999,3.57888508899528e-13
0.0006749999999999998,3.581069845628952e-13
0.0006999999999999998,3.583256034659458e-13
0.0007249999999999997,3.585443657034785e-13
0.0007499999999999997,3.587632713661243e-13
0.0007749999999999996,3.589823205487937e-13
0.0007999999999999996,3.59201513345058e-13
0.0008249999999999996,3.594208498485399e-13
0.0008499999999999995,3.59640330152936e-13
0.0008749999999999995,3.598599543519947e-13
0.0008999999999999994,3.60079722539524e-13
0.0009249999999999994,3.602996348108062e-13
0.0009499999999999993,3.605196912569541e-13
0.0009749999999999993,3.607398919733573e-13
0.0009999999999999994,3.609602370540751e-13
0.001024999999999999,3.611807265932288e-13
0.00105,3.614013606849908e-13
0.001075,3.616221394235871e-13
0.0011,3.618430629033135e-13
0.001125,3.620641312185434e-13
0.00115,3.622853444636753e-13
0.001175,3.625067027317828e-13
0.0012,3.627282061216524e-13
0.001225,3.629498547222136e-13
0.00125,3.631716486323796e-13
0.001275,3.633935879454753e-13
0.0013,3.636156727576928e-13
0.001325,3.638379031610249e-13
0.00135,3.640602792518177e-13
0.001375,3.642828011250264e-13
0.0014,3.645054688756904e-13
0.001425,3.647282825988896e-13
0.001450000000000001,3.649512423897924e-13
0.001475000000000001,3.651743483435981e-13
0.001500000000000001,3.653976005555912e-13
0.001525000000000001,3.656209991211042e-13
0.001550000000000001,3.658445441369792e-13
0.001575000000000001,3.66068235694351e-13
0.001600000000000001,3.662920738945026e-13
0.001625000000000001,3.665160588287101e-13
0.001650000000000001,3.667401905940437e-13
0.001675000000000001,3.669644692876573e-13
0.001700000000000001,3.671888950024468e-13
0.001725000000000001,3.674134678371127e-13
0.001750000000000001,3.676381878861049e-13
0.001775000000000001,3.678630552439556e-13
0.001800000000000001,3.680880700081013e-13
0.001825000000000002,3.683132322760755e-13
0.001850000000000002,3.685385421411282e-13
0.001875000000000002,3.687639997023539e-13
0.001900000000000002,3.68989605054586e-13
0.001925000000000002,3.692153582941302e-13
0.001950000000000002,3.69441259517383e-13
0.001975000000000002,3.696673088193449e-13
0.002000000000000002,3.69893506299435e-13
0.002025000000000002,3.701198520542351e-13
0.002050000000000001,3.703463461774719e-13
0.002075000000000001,3.705729887673013e-13
0.002100000000000001,3.707997799204892e-13
0.002125000000000001,3.710267197353182e-13
0.002150000000000001,3.712538083057598e-13
0.002175000000000001,3.714810457316911e-13
0.002200000000000001,3.717084321071948e-13
0.002225,3.719359675308185e-13
0.00225,3.721636521026147e-13
0.002275,3.723914859154104e-13
0.0023,3.726194690679288e-13
0.002325,3.728476016574962e-13
0.00235,3.730758837800414e-13
0.002375,3.733043155374101e-13
0.002399999999999999,3.735328970227186e-13
0.002424999999999999,3.737616283350238e-13
0.002449999999999999,3.739905095734306e-13
0.002474999999999999,3.742195408341797e-13
0.002499999999999999,3.744487222150253e-13
